fixture	run_rc	stdout_like	unsupported	vm_fail	dll_fail	fixme_stub	actctx	hb_runtime_fail	seh_invalid	dxmt_prefix
file_io_arm64.exe	0	187	0	0	0	0	6	0	3	3
registry_read_arm64.exe	0	187	0	0	0	0	6	0	3	3
named_pipe_arm64.exe	143	7	0	0	0	0	3	0	90807	3
loopback_tcp_arm64.exe	0	187	0	2	0	0	6	0	3	3
com_initialize_arm64.exe	143	421	0	0	0	0	10	0	21429	3
ole_initialize_arm64.exe	143	421	0	0	0	0	10	0	20557	3
shell_known_folder_arm64.exe	2	301	0	2	0	0	6	0	4	3
common_controls_arm64.exe	0	301	0	0	0	0	6	0	3	3
user32_dialog_autoexit_arm64.exe	143	422	0	2	0	0	10	0	21051	3
gdi_font_arm64.exe	143	422	0	2	0	0	10	0	21453	3
